Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  3     60 GPME-SL  ManEst      2       4          D1B       59.33    595.00       39.27            1
  3     61 GPME-SL  ManEst      2       4          D1B       56.52    220.00       36.46            1
  3     62 GPME-SL  ManEst      2       4          D2A       60.86    250.00       40.79            1
  3     63 GPME-SL  ManEst      2       4          D1A       59.99    260.00       39.93            1
  3     64 GPME-SL  ManEst      2       4          D2B       63.75    300.00       43.68            1
  3     65 GPME-SL  ManEst      3       4          D1A       68.07    360.00       48.69            1
  3     66 GPME-SL  ManEst      3       4          D1B       61.56    305.00       42.17            1
  3     67 GPME-SL  ManEst      3       4          D2A       59.95    280.00       40.57            0
  3     68 GPME-SL  ManEst      3       4          D2A       61.67    270.00       42.28            1
  3     69 GPME-SL  ManEst      3       4          D2B       62.15    235.00       42.77            1
  3     70 GPME-SL  ManEst      3       4          D2A       57.73    230.00       38.35            1
  3     71 GPME-SL  ManEst      3       4          D2A       64.24    300.00       44.86            1
  3     72 GPME-SL  ManEst      3       4          D1A       56.61    415.00       37.23            1
  3     73 GPME-SL  ManEst      3       4          D1B       60.36    285.00       40.98            1
  3     74 GPME-SL  ManEst      3       4          D2A       58.60    310.00       39.22            1
  3     75 GPME-SL  ManEst      3       4          D1A       56.84    490.00       37.46            1
  3     76 GPME-SL  ManEst      3       4          D2B       61.14    210.00       41.76            1
  3     77 GPME-SL  ManEst      3       4          D2B       54.47    245.00       35.08            1
  3     78 GPME-SL  ManEst      3       4          D1B       55.40    440.00       36.02            1
  3     79 GPME-SL  ManEst      3       4          D2A       56.47    240.00       37.09            1
  3     80 GPME-SL  ManEst      3       4          D2A       59.67    285.00       40.29            1
  3     81 GPME-SL  ManEst      3       4          D1B       56.96    250.00       37.58            1
  3     82 GPME-SL  ManEst      3       4          D2B       55.86    255.00       36.48            1
  3     83 GPME-SL  ManEst      3       4          D2A       58.72    230.00       39.34            1
  3     84 GPME-SL  ManEst      3       5          D2B       61.35    230.00       41.97            1
  3     85 GPME-SL  ManEst      3       5          D1A       59.96    265.00       40.58            1
  3     86 GPME-SL  ManEst      3       5          D2B       59.32    290.00       39.94            1
  3     87 GPME-SL  ManEst      3       5          D1B       63.90    290.00       44.52            1
  3     88 GPME-SL  ManEst      3       5          D1A       58.47    245.00       39.09            1
  3     89 GPME-SL  ManEst      3       5          D1B       61.70    340.00       42.32            1
  3     90 GPME-SL  ManEst      3       5          D1B       62.76    375.00       43.38            1
