Sub  Trial   Group    Task  Block  Errors      Stimuli      ManEst        RT   G12ManEst FGApApproved
  3     35 GPME-SL  ManEst      2       0          D1B       57.96        808.61    230.00       37.89            1
  3     36 GPME-SL  ManEst      2       0          D2B       58.00        833.84    230.00       37.94            1
  3     37 GPME-SL  ManEst      2       0          D1B       55.17        747.57    225.00       35.11            1
  3     38 GPME-SL  ManEst      2       0          D1B       55.74        902.53    315.00       35.67            1
  3     39 GPME-SL  ManEst      2       0          D2B       55.44        808.52    215.00       35.37            1
  3     40 GPME-SL  ManEst      2       0          D1A       57.87        783.64    235.00       37.81            1
  3     41 GPME-SL  ManEst      2       0          D1B       56.80        847.55    270.00       36.73            1
  3     42 GPME-SL  ManEst      2       0          D1A       57.19        874.45    210.00       37.13            1
  3     43 GPME-SL  ManEst      2       0          D2B       60.88        890.24    355.00       40.82            1
  3     44 GPME-SL  ManEst      2       0          D2A       59.48        794.61    225.00       39.42            1
  3     45 GPME-SL  ManEst      2       0          D1B       56.66        824.47    260.00       36.60            1
  3     46 GPME-SL  ManEst      2       0          D2B       61.17        780.57    300.00       41.11            1
  3     47 GPME-SL  ManEst      2       0          D1A       54.52        844.58    270.00       34.46            1
  3     48 GPME-SL  ManEst      2       2          D2A       59.31        834.57    290.00       39.25            1
  3     49 GPME-SL  ManEst      2       4          D1A       53.72        766.62    205.00       33.66            1
  3     50 GPME-SL  ManEst      2       4          D2B       62.13        883.52    315.00       42.07            1
  3     51 GPME-SL  ManEst      2       4          D2A       62.07        802.73    235.00       42.00            1
  3     52 GPME-SL  ManEst      2       4          D2A       66.45        837.57    255.00       46.39            1
  3     53 GPME-SL  ManEst      2       4          D2A       60.23        781.66    255.00       40.17            1
  3     54 GPME-SL  ManEst      2       4          D2B       54.78        797.60    230.00       34.72            1
