Sub  Trial   Group    Task  Block  Errors      Stimuli    MaxAp     MaxApTime       G12FGAp        RT  TouchedAp  TouchedTime       GGRT
  2    112  PMG-SL   Grasp      4       0          D2B    66.43        790.00         56.98    215.00      66.43       790.00     215.00
  2    113  PMG-SL   Grasp      4       0          D2B    64.91        895.00         58.65    300.00      64.91       895.00     290.00
  2    114  PMG-SL   Grasp      4       0          D1A    67.91        870.00         57.88    305.00      67.91       870.00     300.00
  2    115  PMG-SL   Grasp      4       0          D1B    66.49        845.00         58.09    330.00      66.36       900.00     315.00
  2    116  PMG-SL   Grasp      4       0          D1B    66.27       1010.00         57.64    395.00      66.20      1050.00     390.00
  2    117  PMG-SL   Grasp      4       0          D1B    70.79        865.00         58.19    300.00      70.42       925.00     305.00
  2    118  PMG-SL   Grasp      4       0          D2A    70.56        835.00         58.75    260.00      70.32       880.00     250.00
  2    119  PMG-SL   Grasp      4       0          D2B    70.62        810.00         58.39    210.00      70.42       850.00     215.00
  2    120  PMG-SL   Grasp      4       0          D1A    68.57        885.00         58.14    245.00      68.57       885.00     235.00
  2    121  PMG-SL   Grasp      4       0          D1A    67.00        835.00         58.06    265.00      66.96       880.00     270.00
  2    122  PMG-SL   Grasp      4       0          D1B    70.03        810.00         57.94    235.00      69.68       875.00     240.00
  2    123  PMG-SL   Grasp      4       0          D2B    71.60        770.00         58.39    210.00      71.26       815.00     215.00
  2    124  PMG-SL   Grasp      4       0          D2B    66.96        885.00         58.09    225.00      66.96       885.00     230.00
  2    125  PMG-SL   Grasp      4       0          D2A    66.01        885.00         57.60    255.00      65.87       910.00     250.00
  2    126  PMG-SL   Grasp      4       0          D1A    68.77        955.00         57.02    275.00      68.70       975.00     280.00
  2    127  PMG-SL   Grasp      4       0          D1B    67.07        940.00         58.42    290.00      67.07       940.00     290.00
  2    128  PMG-SL   Grasp      4       0          D2A    68.62        875.00         59.03    305.00      68.62       875.00     290.00
